Location & Filler Space,Priority,Stage,Status,Est. Days,Notes
Beach (Rocky Coast),,Concept,Approved,10,
,,LD Macro Layout,Approved,10,
,,LD Greybox,Approved,10,
,,Gameplay Pass,,10,
,,LA Asset List,Work In Progress,10,
,,Modelling,Work In Progress,10,
,,LA Dressing,,10,
,,Lighting & VFX,,10,
,,Gameplay Balancing,Not Started,10,
,,QA / Playtest,Not Started,10,
Tartarian Hall - Medium Compound,,Concept,,10,
,,LD Macro Layout,,10,
,,LD Greybox,,10,
,,Gameplay Pass,,10,
,,LA Asset List,,10,
,,Modelling,,10,
,,LA Dressing,,10,
,,Lighting & VFX,,10,
,,Gameplay Balancing,,10,
,,QA / Playtest,,10,
Suomi Village - Big Compound,,Concept,Approved,10,
,,LD Macro Layout,,10,
,,LD Greybox,,10,
,,Gameplay Pass,,10,
,,LA Asset List,,10,
,,Modelling,,10,
,,LA Dressing,,10,
,,Lighting & VFX,,10,
,,Gameplay Balancing,,10,
,,QA / Playtest,,10,
Dungeon (Automaton Factory) - Huge Compound,,Concept,,10,
,,LD Macro Layout,,10,
,,LD Greybox,,10,
,,Gameplay Pass,,10,
,,LA Asset List,,10,
,,Modelling,,10,
,,LA Dressing,,10,
,,Lighting & VFX,,10,
,,Gameplay Balancing,,10,
,,QA / Playtest,,10,
ObeliskTeleportA (Rocky Coast),,Concept,,10,
,,LD Macro Layout,,10,
,,LD Greybox,,10,
,,Gameplay Pass,,10,
,,LA Asset List,,10,
,,Modelling,,10,
,,LA Dressing,,10,
,,Lighting & VFX,,10,
,,Gameplay Balancing,,10,
,,QA / Playtest,,10,
ObeliskTeleportB (Suomi Village),,Concept,,10,
,,LD Macro Layout,,10,
,,LD Greybox,,10,
,,Gameplay Pass,,10,
,,LA Asset List,,10,
,,Modelling,,10,
,,LA Dressing,,10,
,,Lighting & VFX,,10,
,,Gameplay Balancing,,10,
,,QA / Playtest,,10,
SampoRoom (Small Compound),,Concept,,10,
,,LD Macro Layout,,10,
,,LD Greybox,,10,
,,Gameplay Pass,,10,
,,LA Asset List,,10,
,,Modelling,,10,
,,LA Dressing,,10,
,,Lighting & VFX,,10,
,,Gameplay Balancing,,10,
,,QA / Playtest,,10,
Background - All,,Concept,,10,
,,LD Macro Layout,,10,
,,LD Greybox,,10,
,,Gameplay Pass,,10,
,,LA Asset List,,10,
,,Modelling,,10,
,,LA Dressing,,10,
,,Lighting & VFX,,10,
,,Gameplay Balancing,,10,
,,QA / Playtest,,10,
"Filler Space - All (without POI, Compounds)",,Concept,,10,
,,LD Macro Layout,,10,
,,LD Greybox,,10,
,,Gameplay Pass,,10,
,,LA Asset List,,10,
,,Modelling,,10,
,,LA Dressing,,10,
,,Lighting & VFX,,10,
,,Gameplay Balancing,,10,
,,QA / Playtest,,10,
Star Fortress (Big Compound),,Concept,,10,
,,LD Macro Layout,,10,
,,LD Greybox,,10,
,,Gameplay Pass,,10,
,,LA Asset List,,10,
,,Modelling,,10,
,,LA Dressing,,10,
,,Lighting & VFX,,10,
,,Gameplay Balancing,,10,
,,QA / Playtest,,10,
